Entered_By,QAQC_By,Region,Site,Survey_Date,Surveyor,Method,Vert_Transect_Number,Vert_Transect_Dist_m,GPS_Lat,GPS_Long,Rod_Height_Waterline_m,Surveyor_Hgt_m,Laser_to_Waterline_m,TH_at_Waterline_m,TH_Laser_Top,Rod_Height_Transect_Top,TH_Transect_Top_m,Notes
AA,SS,SoCal,Little Corona,10/11/22,"RB, JC",Laser,2,10,33.58913,-117.86855,NA,1.22,2.31,0.03,2.34,0.65,1.69,
AA,SS,SoCal,Little Corona,10/11/22,"RB, JC",Laser,1,4,33.58912,-117.86855,NA,1.22,2.31,0.03,2.34,0.91,1.43,
AA,SS,SoCal,Shaw's Cove,10/12/2022,"RB, ET",Laser,5,22,33.54475,-117.79977,NA,0.99,2.14,0.14,2.28,0.54,1.74,
AA,SS,SoCal,Shaw's Cove,10/12/2022,"RB, ET",Laser,4,19,33.54477,-117.79974,NA,0.99,2.14,0.14,2.28,1,1.28,
AA,SS,SoCal,Shaw's Cove,10/12/2022,"RB, ET",Laser,3,7,33.54479,-117.79965,NA,0.99,2.14,0.14,2.28,0.66,1.62,
AA,SS,SoCal,Shaw's Cove,10/12/2022,"RB, ET",Laser,2,3,33.54480,-117.79959,NA,0.99,2.14,0.14,2.28,0.33,1.95,
AA,SS,SoCal,Shaw's Cove,10/12/2022,"RB, ET",Laser,1,2,33.54484,-117.79969,NA,0.99,2.14,0.14,2.28,0.33,1.95,
AA,SS,SoCal,Crystal Cove,10/10/2022,"CC, Hannah",Laser,5,23,33.56863,-117.83597,NA,1.11,1.84,0.14,1.98,0.72,1.26,
AA,SS,SoCal,Crystal Cove,10/10/2022,"CC, Hannah",Laser,4,18,33.56866,-117.83585,NA,1.11,1.84,0.14,1.98,0.63,1.35,
AA,SS,SoCal,Crystal Cove,10/10/2022,"CC, Hannah",Laser,3,16,33.56867,-117.83584,NA,1.11,1.84,0.14,1.98,0.83,1.15,
AA,SS,SoCal,Crystal Cove,10/10/2022,"CC, Hannah",Laser,2,13,33.56864,-117.83583,NA,1.11,1.84,0.14,1.98,0.87,1.11,
AA,SS,SoCal,Crystal Cove,10/10/2022,"CC, Hannah",Laser,1,8,33.56865,-117.83575,NA,1.11,1.84,0.14,1.98,0.76,1.22,
AA,SS,SoCal,Cardiff,10/9/2022,"CC, Maria",Laser,5,17,32.99996,-117.27857,NA,1.09,2.1,0.11,2.21,0.89,1.32,
AA,SS,SoCal,Cardiff,10/9/2022,"CC, Maria",Laser,4,15,32.99993,-117.27860,NA,1.09,2.1,0.11,2.21,0.87,1.34,
AA,SS,SoCal,Cardiff,10/9/2022,"CC, Maria",Laser,3,9,32.99993,-117.27863,NA,1.09,2.1,0.11,2.21,0.92,1.29,
AA,SS,SoCal,Cardiff,10/9/2022,"CC, Maria",Laser,2,6,32.99991,-117.27866,NA,1.09,2.1,0.11,2.21,0.97,1.24,
AA,SS,SoCal,Cardiff,10/9/2022,"CC, Maria",Laser,1,5,32.99990,-117.27867,NA,1.09,2.1,0.11,2.21,0.99,1.22,
SS,AA,SoCal,Heisler Park,10/24/2022,"RB,NO",Laser,5,21,33.54248,-117.78934,NA,1.22,2.9,0.07,2.97,1.84,1.13,
SS,AA,SoCal,Heisler Park,10/24/2022,"RB,NO",Laser,4,20,33.54248,-117.78934,NA,1.22,2.9,0.07,2.97,1.75,1.22,
SS,AA,SoCal,Heisler Park,10/24/2022,"RB,NO",Laser,3,11,33.54240,-117.78930,NA,1.22,2.9,0.07,2.97,1.28,1.69,
SS,AA,SoCal,Heisler Park,10/24/2022,"RB,NO",Laser,2,1,33.54237,-117.78920,NA,1.22,2.9,0.07,2.97,1.23,1.74,
SS,AA,SoCal,Heisler Park,10/24/2022,"RB,NO",Laser,1,0,33.54238,-117.78923,NA,1.22,2.9,0.07,2.97,1.39,1.58,
SS,AA,SoCal,Goff Island,10/25/2022,CC,Laser,5,22,33.51383,-117.76044,NA,1.16,3.62,0.08,3.7,1.58,2.12,
SS,AA,SoCal,Goff Island,10/25/2022,CC,Laser,4,20,33.51383,-117.76045,NA,1.16,3.62,0.08,3.7,1.63,2.07,
SS,AA,SoCal,Goff Island,10/25/2022,CC,Laser,3,14,33.51377,-117.76042,NA,1.16,3.62,0.08,3.7,1.83,1.87,
SS,AA,SoCal,Goff Island,10/25/2022,CC,Laser,2,11,33.51376,-117.76043,NA,1.16,3.62,0.08,3.7,1.55,2.15,
SS,AA,SoCal,Goff Island,10/25/2022,CC,Laser,1,8,33.51373,-117.76043,NA,1.16,3.62,0.08,3.7,1.45,2.25,
AA,SS,SoCal,Dana Point,11/9/2022,HW,Laser,5,23,33.45961,-117.71516,NA,0.94,2.49,-0.12,2.37,0.9,1.47,
AA,SS,SoCal,Dana Point,11/9/2022,HW,Laser,4,21,33.45988,-117.71510,NA,0.94,2.49,-0.12,2.37,0.95,1.42,
AA,SS,SoCal,Dana Point,11/9/2022,HW,Laser,3,18,33.45989,-117.71513,NA,0.94,2.49,-0.12,2.37,1.01,1.36,
AA,SS,SoCal,Dana Point,11/9/2022,HW,Laser,2,17,33.45988,-117.71513,NA,0.94,2.49,-0.12,2.37,0.88,1.49,
AA,SS,SoCal,Dana Point,11/9/2022,HW,Laser,1,5,33.45977,-117.71520,NA,0.94,2.49,-0.12,2.37,1.44,0.93,
AA,SS,SoCal,Scripps,11/7/2022,CC,Laser,5,25,32.87151,-117.25317,NA,1.41,2.46,0.18,2.64,0.66,1.98,
AA,SS,SoCal,Scripps,11/7/2022,CC,Laser,4,24,32.87149,-117.25321,NA,1.41,2.46,0.18,2.64,0.92,1.72,
AA,SS,SoCal,Scripps,11/7/2022,CC,Laser,3,22,32.87142,-117.25322,NA,1.41,2.46,0.18,2.64,0.95,1.69,
AA,SS,SoCal,Scripps,11/7/2022,CC,Laser,2,11,32.87141,-117.25328,NA,1.41,2.46,0.18,2.64,1.59,1.05,
AA,SS,SoCal,Scripps,11/7/2022,CC,Laser,1,1,32.87135,-117.25331,NA,1.41,2.46,0.18,2.64,1.07,1.57,
AA,SS,SoCal,Swami's,11/6/2022,"AA, CG",Laser,5,16,33.51963,-117.76445,NA,1.14,2.29,0.01,2.3,0.79,1.51,
AA,SS,SoCal,Swami's,11/6/2022,"AA, CG",Laser,4,9,33.03539,-117.29446,NA,1.14,2.29,0.01,2.3,1.17,1.13,
